vuelo_id,codigo_aerolinea,aeropuerto_origen,aeropuerto_destino,estado_vuelo,retraso_salida_min,retraso_llegada_min,pasajeros_a_bordo,capacidad_asientos,load_factor,fecha_vuelo,hora_salida_programada,tipo_operacion,distancia_km,mes_anio
UAL1519,UAL,MAD,EWR,Retrasado,25.7,21.6,193,248,0.78,2026-01-29,18:45,5740,5740,2026-01
AEA7154,AEA,MAD,BCN,A tiempo,0.0,0.0,140,162,0.87,2026-01-12,09:15,620,620,2026-01
CNF7439,CNF,ACE,PMI,Retrasado,88.7,76.9,118,130,0.91,2026-01-10,20:45,1760,1760,2026-01
CNF7214,CNF,ACE,PMI,Retrasado,33.5,30.3,134,189,0.71,2026-01-29,09:00,1760,1760,2026-01
TAP1256,TAP,MAD,LIS,A tiempo,0.0,0.0,98,145,0.68,2026-01-02,20:00,624,624,2026-01
SWR1724,SWR,MAD,ZRH,Retrasado,31.9,27.6,91,130,0.7,2026-01-10,13:30,1782,1782,2026-01
BEL6253,BEL,MAD,BRU,A tiempo,0.0,0.0,160,162,0.99,2026-01-17,13:45,1311,1311,2026-01
KLM5508,KLM,MAD,AMS,A tiempo,0.0,0.0,139,162,0.86,2026-01-14,21:00,1459,1459,2026-01
IBE7244,IBE,MAD,GRU,Retrasado,41.7,38.6,121,162,0.75,2026-01-06,21:15,9354,9354,2026-01
SWR5927,SWR,MAD,ZRH,Retrasado,21.6,20.3,109,130,0.84,2026-01-31,19:15,1782,1782,2026-01
AEA4978,AEA,MAD,BCN,Retrasado,43.0,35.4,282,300,0.94,2026-01-03,12:00,620,620,2026-01
BAW7179,BAW,MAD,LHR,Retrasado,74.3,78.9,165,180,0.92,2026-01-19,12:45,1246,1246,2026-01
DLH6455,DLH,MAD,FRA,Retrasado,109.5,94.6,176,180,0.98,2026-01-04,21:15,1858,1858,2026-01
RYR4350,RYR,BCN,DUB,Retrasado,32.5,29.1,147,189,0.78,2026-01-18,17:30,1469,1469,2026-01
BAW6892,BAW,MAD,LHR,Retrasado,62.2,51.6,273,300,0.91,2026-01-11,12:30,1246,1246,2026-01
AFR7781,AFR,MAD,CDG,A tiempo,0.0,0.0,162,180,0.9,2026-01-01,14:45,1053,1053,2026-01
KLM3497,KLM,MAD,AMS,A tiempo,0.0,0.0,140,180,0.78,2026-01-27,13:45,1459,1459,2026-01
CNF6530,CNF,ACE,PMI,Retrasado,99.5,108.5,243,300,0.81,2026-01-24,17:15,1760,1760,2026-01
EZY9954,EZY,AGP,LGW,Retrasado,110.4,106.3,107,130,0.83,2026-01-27,08:00,1736,1736,2026-01
IBE7756,IBE,MAD,BCN,A tiempo,0.0,0.0,120,180,0.67,2026-01-05,06:15,620,620,2026-01
LDM8471,LDM,AGP,MAN,Retrasado,76.1,76.1,261,300,0.87,2026-01-01,06:45,1823,1823,2026-01
IBE1274,IBE,MAD,BCN,Retrasado,36.6,40.0,106,130,0.82,2026-01-23,19:15,620,620,2026-01
RYR2578,RYR,BCN,STN,Retrasado,32.7,32.2,175,189,0.93,2026-01-09,18:00,1141,1141,2026-01
IBE7652,IBE,MAD,GRU,Retrasado,33.0,33.3,166,189,0.88,2026-01-28,08:00,9354,9354,2026-01
IBB7640,IBB,MAD,LCG,Retrasado,68.6,56.0,115,130,0.89,2026-01-03,21:45,598,598,2026-01
AFR2562,AFR,MAD,CDG,Retrasado,110.7,96.2,222,300,0.74,2026-01-30,08:30,1053,1053,2026-01
CNF1539,CNF,ACE,PMI,A tiempo,0.0,0.0,134,204,0.66,2026-01-07,10:45,1760,1760,2026-01
